iter	Logloss
0	0.5181234098
1	0.4316494315
2	0.3911757183
3	0.3668753442
4	0.3501487262
5	0.3386799962
6	0.3301248255
7	0.3254372166
8	0.3221873148
9	0.3190524449
10	0.3162092635
11	0.314093933
12	0.312662025
13	0.3107085004
14	0.3099291409
15	0.3090758824
16	0.3081644128
17	0.3076539381
18	0.3072168992
19	0.3066432576
20	0.3062823834
21	0.3060250137
22	0.3056920383
23	0.3055027764
24	0.305323056
25	0.3050741695
26	0.3049131987
27	0.3047474447
28	0.3046275997
29	0.3044862973
30	0.3042895617
31	0.3041908952
32	0.3039879252
33	0.3038968079
34	0.3037775618
35	0.3037115941
36	0.3035530059
37	0.3034790065
38	0.3034320491
39	0.3033788774
40	0.3033075197
41	0.3032079927
42	0.303072608
43	0.3030309809
44	0.3029914083
45	0.3029377224
46	0.3028907484
47	0.3028458725
48	0.3028113883
49	0.3027560798
50	0.3027272262
51	0.3026829293
52	0.3026185462
53	0.3025755866
54	0.3024649209
55	0.3023823004
56	0.3023438552
57	0.3022951677
58	0.3022317022
59	0.3021473166
60	0.3020802152
61	0.302028654
62	0.3019902655
63	0.3019502895
64	0.3019135102
65	0.3018261004
66	0.3017988811
67	0.3017463434
68	0.301718313
69	0.3016795465
70	0.3016483552
71	0.3015992728
72	0.3015315836
73	0.30149802
74	0.3014545347
75	0.3013981525
76	0.3013491414
77	0.3012965925
78	0.3012529876
79	0.3012011908
80	0.3011684856
81	0.3011192023
82	0.3010600067
83	0.3010049817
84	0.300927849
85	0.3008981946
86	0.3008783851
87	0.3008435231
88	0.3007923075
89	0.3007551133
90	0.3007229454
91	0.3006976453
92	0.3006643863
93	0.300633134
94	0.3006082562
95	0.3005609764
96	0.30051802
97	0.3004756547
98	0.3004410236
99	0.3004161184
100	0.3003972252
101	0.3003588178
102	0.3003398016
103	0.3003031653
104	0.3002423651
105	0.3002185372
106	0.3001794434
107	0.3001676072
108	0.3001433885
109	0.300116646
110	0.3001016037
111	0.3000622097
112	0.3000318609
113	0.2999944362
114	0.2999764489
115	0.2999558857
116	0.2999339602
117	0.2999179169
118	0.2998821298
119	0.2998442919
120	0.299809639
121	0.2997883026
122	0.2997429678
123	0.2997073003
124	0.2996711544
125	0.2996323081
126	0.2995987358
127	0.2995608837
128	0.2995362106
129	0.2995195074
130	0.2995001491
131	0.2994844732
132	0.2994676862
133	0.2994514616
134	0.2994291883
135	0.2994065602
136	0.299390296
137	0.2993667679
138	0.2993488411
139	0.2993323463
140	0.2993219424
141	0.2992953859
142	0.2992661037
143	0.2992334411
144	0.299207522
145	0.2991824
146	0.2991692524
