iter	Passed	Remaining
0	162	98389
1	187	56694
2	212	42744
3	239	36101
4	265	31949
5	289	29031
6	313	26866
7	336	25228
8	360	23960
9	385	22992
10	412	22324
11	437	21695
12	462	21116
13	486	20600
14	508	20084
15	533	19719
16	559	19429
17	584	19110
18	608	18832
19	634	18631
20	657	18347
21	680	18101
22	704	17900
23	730	17736
24	754	17558
25	778	17391
26	802	17236
27	826	17095
28	849	16930
29	873	16806
30	897	16676
31	921	16551
32	945	16442
33	970	16359
34	992	16223
35	1015	16107
36	1039	16006
37	1064	15938
38	1088	15847
39	1109	15727
40	1132	15639
41	1155	15541
42	1179	15469
43	1204	15415
44	1227	15332
45	1250	15255
46	1274	15190
47	1297	15106
48	1322	15062
49	1343	14969
50	1367	14913
51	1391	14850
52	1415	14792
53	1437	14725
54	1462	14680
55	1487	14635
56	1512	14595
57	1535	14535
58	1559	14485
59	1585	14457
60	1608	14395
61	1633	14358
62	1658	14323
63	1681	14262
64	1705	14225
65	1730	14181
66	1752	14127
67	1776	14078
68	1797	14014
69	1821	13972
70	1842	13906
71	1866	13865
72	1889	13822
73	1913	13782
74	1934	13723
75	1959	13689
76	1983	13655
77	2007	13613
78	2032	13583
79	2053	13529
80	2077	13488
81	2100	13445
82	2123	13403
83	2149	13383
84	2175	13360
85	2198	13317
86	2221	13278
87	2243	13230
88	2266	13193
89	2290	13157
90	2314	13124
91	2337	13082
92	2363	13064
93	2390	13045
94	2413	13006
95	2437	12975
96	2461	12942
97	2484	12904
98	2509	12879
99	2536	12860
100	2562	12835
101	2586	12807
102	2610	12775
103	2634	12739
104	2658	12709
105	2681	12672
106	2707	12654
107	2731	12618
108	2753	12582
109	2778	12553
110	2800	12513
111	2824	12484
112	2850	12460
113	2873	12426
114	2898	12399
115	2923	12375
116	2947	12345
117	2972	12316
118	2996	12289
119	3021	12260
120	3044	12226
121	3068	12197
122	3094	12175
123	3120	12153
124	3145	12129
125	3168	12095
126	3193	12069
127	3218	12043
128	3242	12013
129	3267	11990
130	3289	11951
131	3313	11924
132	3335	11889
133	3357	11853
134	3378	11812
135	3400	11775
136	3420	11734
137	3442	11699
138	3466	11671
139	3489	11641
140	3510	11603
141	3536	11579
142	3561	11555
143	3586	11532
144	3611	11507
145	3638	11489
146	3663	11463
147	3685	11429
148	3709	11401
149	3731	11368
150	3754	11338
151	3780	11315
152	3803	11286
153	3827	11258
154	3849	11226
155	3873	11199
156	3897	11171
157	3918	11136
158	3941	11104
159	3965	11079
160	3987	11045
161	4010	11017
162	4038	11000
163	4069	10992
164	4092	10963
165	4117	10938
166	4141	10910
167	4167	10891
168	4191	10862
169	4215	10835
170	4237	10803
171	4263	10783
172	4285	10750
173	4309	10723
174	4334	10700
175	4355	10666
176	4381	10644
177	4408	10624
178	4428	10589
179	4451	10561
180	4477	10537
181	4501	10512
182	4527	10489
183	4551	10463
184	4574	10435
185	4600	10412
186	4624	10387
187	4648	10360
188	4671	10331
189	4692	10299
190	4716	10272
191	4739	10244
192	4765	10222
193	4789	10195
194	4812	10167
195	4835	10140
196	4859	10114
197	4885	10091
198	4909	10066
199	4930	10032
200	4953	10006
